seat,bioguide,party,name,BLUF
AK-AL,B001323,R,Nick Begich,"Entrepreneur and member of an Alaskan political dynasty seeking to limit spending, taxes, and inflation, while expanding the natural resource industries in Alaska"
AL-1,M001212,R,Barry Moore,"Lifelong Alabama resident and former state legislator, Moore is seeking reelection in Alabama's 1st district after the district lines were redrawn"
AL-2,F000481,D,Shomari Figures,"Holding strong familial ties to Alabama, Figures leads Alabama's newly drawn 2nd district"
AL-3,R000575,R,Mike Rogers,Sixth generation East Alabaman who focuses on advancing agricultural and trade policies that benefit Alabama's economy; interested in national defense 
AL-4,A000055,R,Robert Aderholt,"A social and fiscal conservative, Aderholt uses his position on the Appropriations Committee to secure needed funds for his district"
AL-5,S001220,R,Dale Strong,"An 8th generation Alabaman, Strong served as commissioner for Madison County for over two decades before joining Congress in 2023"
AL-6,P000609,R,Gary Palmer,"Deficit hawk from the Deep South who headed a premier state think tank. Staunch Freedom Caucus conservative and advocate for a smaller budget, less environmental regulatory oversight, and repealing the ACA "
AL-7,S001185,D,Terri Sewell,Trailblazing woman and Selma native fighting for minority inclusion in the health care system and revitalizing the Black Belt economy has forged longstanding ties to influential leaders
AR-1,C001087,R,Rick Crawford,"An Army veteran, former radio personality, and rodeo performer, Crawford has focused on agriculture and national security issues his past decade in Congress"
AR-2,H001072,R,French Hill,"A ninth-generation Arkansan who touts his experience as a trusted GOP economic advisor, Hill specializes in financial deregulation legislation and the emerging field of FinTech"
AR-3,W000809,R,Steve Womack,Former mayor and National Guard Army Colonel who pushes for a balanced federal budget and tax parity between online retailers and local small businesses; fervently protects and promotes local poultry industry 
AR-4,W000821,R,Bruce Westerman,"An engineer and forester, Westerman prioritizes health care reform and environmental stewardship, finding a policy niche in forest management"
AZ-1,S001183,R,David Schweikert,"Hardline fiscal conservative, Schweikert has utilized his position on the Ways and Means Committee to influence financial legislation"
AZ-2,C001132,R,Eli Crane,Former Navy SEAL and entrepreneur who was first elected in 2022 on a platform of social conservatism and border security
AZ-3,A000381,D,Yassamin Ansari,Second-generation immigrant and former Vice Mayor of Phoenix Ansari elected to represent Arizona's 3rd Congressional District
AZ-4,S001211,D,Greg Stanton,"A longtime elected official in Arizona, Stanton prioritizes sustainable infrastructure investments and immigration policies"
AZ-5,B001302,R,Andy Biggs,"Longtime state legislator and chair of the House Freedom Caucus who applies views of limited government to policymaking, pushing for a balanced budget and deregulation"
AZ-6,C001133,R,Juan Ciscomani,Son of Mexican immigrants who has held multiple community leadership positions in Arizona with a platform focusing heavily on border security
AZ-7,,,,
AZ-8,H001098,R,Abraham Hamadeh,Arizona born prosecutor and intelligence officer focused on rule of law issues 
AZ-9,G000565,R,Paul Gosar,Arizona dentist with Tea Party roots who is considered one of the most conservative members of Congress; champions deregulation and strict immigration policy 
CA-1,L000578,R,Doug LaMalfa,"Native North State Californian and farmer who prioritizes rural and district-specific issues, including agriculture and water infrastructure "
CA-2,H001068,D,Jared Huffman,Progressive leader and committed climate activist with a long track record of fighting to protect the environment
CA-3,K000401,R,Kevin P. Kiley,"A former English teacher who served as deputy attorney general in the California state attorney general's office; following an unsuccessful bid in California's 2021 gubernatorial special election, the current state assemblyman is the Republican nominee for California's 3rd House District "
CA-4,T000460,D,Mike Thompson,"Vietnam combat veteran and twenty-year House member who prioritizes issues of gun control, veteran's affairs, and California's wine industry "
CA-5,M001177,R,Tom McClintock,"A former state lawmaker and consistent advocate for small government, McClintock represents a solidly-red, central California district; has focused on the budget and natural resources "
CA-6,B001287,D,Ami Bera,"Northern California policymaker and former county medical officer who prioritizes legislation related to health care, COVID-19, and foreign policy in Asia"
