seat,name
AK-AL,Nick Begich
AL-1,Barry Moore
AL-2,Shomari Figures
AL-3,Mike Rogers
AL-4,Robert Aderholt
AL-5,Dale Strong
AL-6,Gary Palmer
AL-7,Terri Sewell
AR-1,Rick Crawford
AR-2,French Hill
AR-3,Steve Womack
AR-4,Bruce Westerman
AZ-1,David Schweikert
AZ-2,Eli Crane
AZ-3,Yassamin Ansari
AZ-4,Greg Stanton
AZ-5,Andy Biggs
AZ-6,Juan Ciscomani
AZ-7,
AZ-8,Abraham Hamadeh
AZ-9,Paul Gosar
CA-1,Doug LaMalfa
CA-2,Jared Huffman
CA-3,Kevin P. Kiley
CA-4,Mike Thompson
CA-5,Tom McClintock
CA-6,Ami Bera
CA-7,Doris Matsui
CA-8,John Garamendi
CA-9,Josh Harder
CA-10,Mark DeSaulnier
CA-11,Nancy Pelosi
CA-12,Lateefah Simon
CA-13,Adam Gray
CA-14,Eric Swalwell
CA-15,Kevin C. Mullin
CA-16,Sam Liccardo
CA-17,Ro Khanna
CA-18,Zoe Lofgren
CA-19,Jimmy Panetta
CA-20,Vince Fong
CA-21,Jim Costa
CA-22,David Valadao
CA-23,Jay Obernolte
CA-24,Salud Carbajal
CA-25,Raul Ruiz
CA-26,Julia Brownley
CA-27,George Whitesides
CA-28,Judy Chu
CA-29,Luz Rivas
CA-30,Laura Friedman
CA-31,Gil Cisneros
CA-32,Brad Sherman
CA-33,Pete Aguilar
CA-34,Jimmy Gomez
CA-35,Norma Torres
CA-36,Ted Lieu
CA-37,Sydney K. Kamlager-Dove
CA-38,Linda Sánchez
CA-39,Mark Takano
CA-40,Young Kim
CA-41,Ken Calvert
CA-42,Robert Garcia
CA-43,Maxine Waters
CA-44,Nanette Barragán
CA-45,Derek Tran
CA-46,Lou Correa
CA-47,David Min
CA-48,Darrell Issa
CA-49,Mike Levin
CA-50,Scott Peters
CA-51,Sara Jacobs
CA-52,Juan Vargas
CO-1,Diana DeGette
CO-2,Joe Neguse
CO-3,Jeff Hurd
CO-4,Lauren Boebert
CO-5,Jeff Crank
CO-6,Jason Crow
CO-7,Brittany Louise Pettersen
CO-8,Gabe Evans
CT-1,John Larson
CT-2,Joe Courtney
CT-3,Rosa DeLauro
CT-4,Jim Himes
CT-5,Jahana Hayes
